,city,customer_name,On Time,In Full,On Time In Full
0,Vadodara,Rel Fresh,1,1,1
1,Surat,Chiptec Stores,1,1,1
2,Surat,Chiptec Stores,1,0,0
3,Surat,Atlas Stores,1,1,1
4,Vadodara,Sorefoz Mart,1,1,1
5,Ahmedabad,Logic Stores,1,1,1
6,Surat,Lotus Mart,0,1,0
7,Surat,Lotus Mart,0,1,0
8,Vadodara,Propel Mart,1,1,1
9,Ahmedabad,Coolblue,0,1,0
10,Surat,Viveks Stores,1,1,1
11,Surat,Viveks Stores,1,1,1
12,Ahmedabad,Vijay Stores,1,0,0
13,Ahmedabad,Elite Mart,1,1,1
14,Vadodara,Elite Mart,1,1,1
15,Ahmedabad,Lotus Mart,0,0,0
16,Ahmedabad,Lotus Mart,0,0,0
17,Ahmedabad,Propel Mart,0,1,0
18,Ahmedabad,Expert Mart,1,1,1
19,Surat,Acclaimed Stores,1,0,0
20,Ahmedabad,Sorefoz Mart,1,0,0
21,Surat,Chiptec Stores,1,1,1
22,Vadodara,Info Stores,1,1,1
23,Ahmedabad,Logic Stores,0,0,0
24,Ahmedabad,Expert Mart,0,1,0
25,Surat,Acclaimed Stores,0,0,0
26,Surat,Acclaimed Stores,0,0,0
27,Surat,Acclaimed Stores,0,0,0
28,Surat,Lotus Mart,0,1,0
29,Ahmedabad,Elite Mart,1,1,1
30,Ahmedabad,Acclaimed Stores,0,1,0
31,Surat,Logic Stores,1,1,1
32,Surat,Propel Mart,1,1,1
33,Ahmedabad,Coolblue,1,1,1
34,Vadodara,Elite Mart,1,0,0
35,Vadodara,Lotus Mart,0,0,0
36,Surat,Expression Stores,0,1,0
37,Ahmedabad,Logic Stores,1,1,1
38,Surat,Lotus Mart,1,1,1
39,Surat,Lotus Mart,0,0,0
40,Surat,Chiptec Stores,1,1,1
41,Vadodara,Coolblue,0,0,0
42,Surat,Vijay Stores,1,1,1
43,Ahmedabad,Lotus Mart,0,0,0
44,Ahmedabad,Lotus Mart,1,0,0
45,Vadodara,Vijay Stores,1,0,0
46,Ahmedabad,Coolblue,0,0,0
47,Vadodara,Rel Fresh,1,1,1
48,Ahmedabad,Propel Mart,1,1,1
49,Ahmedabad,Atlas Stores,1,1,1
50,Ahmedabad,Rel Fresh,1,1,1
51,Vadodara,Acclaimed Stores,0,1,0
52,Vadodara,Acclaimed Stores,0,0,0
53,Surat,Acclaimed Stores,1,0,0
54,Surat,Expression Stores,1,0,0
55,Vadodara,Expression Stores,1,0,0
56,Surat,Atlas Stores,1,1,1
57,Vadodara,Lotus Mart,1,1,1
58,Vadodara,Lotus Mart,0,0,0
59,Vadodara,Expression Stores,1,0,0
60,Surat,Propel Mart,1,1,1
61,Surat,Acclaimed Stores,0,0,0
62,Ahmedabad,Coolblue,1,0,0
63,Ahmedabad,Elite Mart,1,0,0
64,Ahmedabad,Elite Mart,0,1,0
65,Vadodara,Viveks Stores,1,0,0
66,Surat,Logic Stores,1,1,1
67,Surat,Logic Stores,1,1,1
